Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C33, C34, C36, C75",C_0603,6,1uF,C15849
"C10, C17",C_0402,2,1uF,C52923
"C11, C12, C23, C24, C25, C26, C78",C_0402,7,220nF,C16772
"C13, C14, C15, C16, C18, C29, C37, C38, C46, C47, C5, C51, C6, C61, C67, C7, C74, C76, C77, C8, C81, C9",C_0402,22,100nF,C307331
C19,C_0402,1,4.7nF,C1538
C20,C_0805,1,33pF,C107115
"C21, C41",C_0402,2,1nF,C1523
C22,C_0402,1,47pF,C1567
"C27, C70",C_0805,2,1uF,C28323
"C28, C32",C_0402,2,100pF,C1546
"C3, C4",C_0402,2,15pF,C1548
C30,C_0402,1,2.2uF,C12530
C31,C_0805,1,470nF,C13967
C35,C_0805,1,22uF,C45783
"C39, C43, C44",C_0603,3,47nF,C1622
"C40, C42, C49, C50, C52, C53, C54, C55, C56, C57",C_0805,10,10uF,C440198
"C45, C58, C59, C64, C65",C_0402,5,4.7uF,C23733
C48,C_0805,1,2.2uF,C377773
"C60, C66, C73",C_0402,3,10nF,C15195
"C62, C63, C68, C69",C_1206,4,47uF,C96123
C71,C_0603,1,330pF,C1664
C72,C_0603,1,8.2nF,C1322360
"C79, C80",C_1206,2,4.7uF,C29823
"D1, D2",0603,2,LED,C2286
"D10, D11",D_SOD-123,2,BAT46W,C7420332
"D12, D9",D_SOD-523,2,BZX584C12,C22395579
D13,D_0805,1,Green,C2297
"D14, D15",D_SMA,2,SSL54,C41410770
D16,D_SMA,1,SS54,C22452
"D17, D3",D_0603,2,Yellow,C89811
"D4, D5, D6, D7, D8",D_SMB,5,SMBJ18A,C19077573
F1,F1206,1,0501015_WR,C126815
J1,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0_16P,C2765186
L1,IND-SMD_L3.2-W2.5-1,1,1uH,C5159968
L2,IND-SMD_L7.5-W7.5_XAL7030,1,2.7uH,C5366402
Q1,Q_SOT-23,1,FMMT493,C28646275
"Q2, Q3",SOT-23,2,AO3400A,
"R1, R12, R13, R2",0402,4,5.1k,C25905
"R10, R9",0402,2,27,C25100
"R11, R28, R29, R30, R31, R34, R37, R40, R42, R5, R56, R57",R_0402,12,10kΩ,C25744
R14,R_0805,1,6.2kΩ,C17767
R15,R_0805,1,1.2kΩ,C17379
R16,R_0805,1,51kΩ,C17737
"R17, R41",R_0402,2,7.5kΩ,C25918
R18,R_0402,1,2.4kΩ,C25882
R19,R_0603,1,30kΩ,C22984
"R20, R21, R22, R23, R24",R_0603,5,20Ω,C22950
"R25, R27, R32, R35, R36, R39",R_0402,6,100Ω,C25076
R26,R0805,1,5mΩ,C92742
"R3, R4, R7",0402,3,1k,C11702
"R33, R38",R_0402,2,10MΩ,C26082
R43,R_0402,1,2.2kΩ,C25879
R44,R_0603,1,2Ω,C22977
"R45, R47",R_0805,2,330kΩ,C17629
"R46, R48",R_0805,2,100kΩ,C149504
"R49, R50",R_0603,2,470Ω,C23179
R51,R_0603,1,9.1kΩ,C23260
R52,R_0603,1,5.1Ω,C25197
R53,R_0402,1,47kΩ,C25792
R54,R_0402,1,2kΩ,C4109
R55,R_0402,1,47Ω,C25118
R6,R_0603,1,0Ω,C21189
R8,R_0402,1,1kΩ,C11702
"TP1, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP2, TP20, TP21, TP22, TP23, TP24, TP3, TP4, TP5, TP6, TP7, TP8, TP9",SMD_RH-5015,24,RH-5015,C5199798
U1,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,1,XC6206P332MR,C5446
U10,IC_BQ25672RQMR,1,BQ25672RQMR,C3682029
"U11, U13",SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,2,TPS54331DR,C9865
"U12, U14",IND-SMD_L5.4-W5.2_SLO0530H6R8MTT,2,6.8uH,C325965
U15,WQFN-16_L3.0-W3.0-P0.50-TL-EP1.7,1,LM5157RTER,C5219222
"U17, U2, U4",HDR-SMD_2P-P2.54-V-M-S4.8_DZ254S-11-02-50,3,2P SMD 2.54P Jumper,C17702633
U3,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,1,W25Q128JVP,C190862
U5,QFN-28_L6.0-W6.0-P0.65-BL-EP3.7,1,MCP25625T-E/ML,C191253
U6,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U7,CONN-TH_5P-P2.50_S5B-XH-A-LF-SN,1,S5B-XH-A(LF)(SN),C263757
U8,CONN-TH_XT30PW-M,1,XT30PW-M,C431092
U9,TQFP-48_L7.0-W7.0-P0.50-LS9.0-TL,1,BQ7694202PFBR,C3682863
X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,ABM8-272-T3,C20625731
Y1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,X322516MLB4SI,C12668
