Designator,Mid X,Mid Y,Rotation,Layer
C1,158.61416,-112.212492,180.0,top
C10,163.5,-108.912492,270.0,top
C11,165.2,-108.912492,270.0,top
C12,161.31416,-107.812492,270.0,top
C13,169.0,-95.0,90.0,top
C14,164.4,-98.3,135.0,top
C15,159.8,-102.6,135.0,top
C16,162.999822,-93.444856,180.0,top
C17,162.51416,-108.912492,270.0,top
C18,162.999949,-87.844856,180.0,top
C19,151.4,-88.9,270.0,top
C2,157.41416,-109.312492,180.0,top
C20,150.0,-88.9,270.0,top
C21,134.905,-80.505,270.0,top
C22,135.705,-80.505,270.0,top
C23,148.155,-104.02,90.0,top
C24,149.265,-103.19,90.0,top
C25,150.235,-102.5,90.0,top
C26,151.265,-101.72,90.0,top
C27,168.7,-82.9,315.0,top
C28,149.685,-99.51,90.0,top
C29,150.505,-99.51,90.0,top
C3,166.28916,-97.462492,0.0,top
C30,146.99881,-96.08,0.0,top
C31,136.19881,-103.25,270.0,top
C32,138.935,-105.369914,270.0,top
C33,137.905,-104.780029,270.0,top
C34,142.905,-93.1,0.0,top
C35,140.375,-91.9,90.0,top
C36,136.105,-91.43,90.0,top
C37,134.985,-99.14,90.0,top
C38,134.985,-97.33,90.0,top
C39,128.280888,-90.4,270.0,top
C4,165.6,-92.462492,180.0,top
C40,129.2,-95.05,270.0,top
C41,127.280888,-86.8,0.0,top
C42,131.2,-95.05,270.0,top
C43,121.780888,-82.2,90.0,top
C44,127.080888,-83.5,90.0,top
C45,127.080888,-90.8,270.0,top
C46,128.080888,-84.0,90.0,top
C47,121.780888,-85.5,180.0,top
C48,117.704758,-88.6,270.0,top
C49,135.9,-84.7,270.0,top
C5,167.56416,-113.349992,90.0,top
C50,119.380888,-81.7,180.0,top
C51,122.280888,-91.7,0.0,top
C52,131.9,-84.7,270.0,top
C53,119.380888,-79.7,180.0,top
C54,123.054758,-93.1,0.0,top
C55,133.9,-84.7,270.0,top
C56,119.380888,-83.7,180.0,top
C57,123.054758,-95.1,0.0,top
C58,141.9,-82.9,90.0,top
C59,142.7,-82.9,90.0,top
C6,173.3,-90.6,45.0,top
C60,144.2,-87.8,0.0,top
C61,146.9,-81.4,0.0,top
C62,147.0,-75.1,270.0,top
C63,149.3,-75.1,270.0,top
C64,127.405,-75.005,90.0,top
C65,128.205,-75.005,90.0,top
C66,129.805,-79.905,0.0,top
C67,132.705,-73.805,0.0,top
C68,138.4,-79.0,270.0,top
C69,140.8,-79.0,270.0,top
C7,176.0,-100.8,270.0,top
C70,167.1,-84.2,315.0,top
C71,171.7,-89.5,45.0,top
C72,169.6,-88.5,135.0,top
C73,175.6,-88.844486,225.0,top
C74,167.2,-80.7,135.0,top
C75,169.548457,-86.248457,315.0,top
C76,170.61416,-106.462492,0.0,top
C77,172.0,-102.1,45.0,top
C78,146.425,-103.99,90.0,top
C79,160.8,-73.3,90.0,top
C8,166.0,-109.3,270.0,top
C80,158.5,-73.3,90.0,top
C81,162.4,-71.7,90.0,top
C9,163.6,-98.8,135.0,top
D1,144.344905,-76.718537,180.0,top
D10,136.09881,-108.23,270.0,top
D11,138.20881,-88.77,90.0,top
D12,134.185,-92.57,180.0,top
D13,118.980888,-85.8,180.0,top
D14,146.8,-79.2,180.0,top
D15,132.705,-71.505,180.0,top
D16,165.6,-74.4,0.0,top
D17,174.7,-103.79,270.0,top
D2,161.0,-69.4,225.0,top
D3,119.2,-77.8,0.0,top
D4,131.05,-107.2,0.0,top
D5,139.655,-115.0,270.0,top
D6,144.175,-115.02,270.0,top
D7,148.675,-115.03,270.0,top
D8,153.185,-115.04,270.0,top
D9,132.105,-100.78,0.0,top
F1,129.825,-103.55381,0.0,top
J1,164.826978,-118.524992,0.0,top
L1,124.380888,-83.5,180.0,top
L2,171.1,-78.7,45.0,top
Q1,137.37881,-94.77,90.0,top
Q2,132.865,-98.0825,270.0,top
Q3,133.985,-95.2475,90.0,top
R1,163.58916,-113.764992,270.0,top
R10,163.81416,-110.812492,90.0,top
R11,175.1,-100.1,90.0,top
R12,154.8,-93.2,270.0,top
R13,155.8,-95.2,270.0,top
R14,148.0,-88.9,90.0,top
R15,146.1,-88.9,270.0,top
R16,150.7,-91.6,180.0,top
R17,134.105,-80.405,90.0,top
R18,133.305,-80.405,270.0,top
R19,135.805,-82.005,0.0,top
R2,166.58916,-113.749992,90.0,top
R20,140.905,-107.4,270.0,top
R21,143.355,-107.4,270.0,top
R22,146.025,-107.4,270.0,top
R23,148.275,-107.4,270.0,top
R24,150.584873,-107.38,270.0,top
R25,151.815,-100.03,0.0,top
R26,153.725,-99.72,90.0,top
R27,151.805,-99.0,0.0,top
R28,136.29881,-99.49,180.0,top
R29,136.29881,-98.69,180.0,top
R3,142.6,-78.91,90.0,top
R30,143.905,-91.5,270.0,top
R31,143.105,-91.5,270.0,top
R32,136.16881,-105.369914,180.0,top
R33,131.755,-101.88,0.0,top
R34,136.29881,-101.1,0.0,top
R35,137.62881,-92.44,180.0,top
R36,137.62881,-91.61,0.0,top
R37,136.29881,-100.3,180.0,top
R38,134.575,-91.46,0.0,top
R39,127.280888,-88.6,270.0,top
R4,157.2,-70.4,0.0,top
R40,129.080888,-88.6,0.0,top
R41,129.280888,-89.9,270.0,top
R42,125.580888,-92.2,270.0,top
R43,119.2,-89.2,270.0,top
R44,120.080888,-87.5,180.0,top
R45,140.351003,-84.816002,270.0,top
R46,142.3,-86.5,270.0,top
R47,126.005,-76.805,270.0,top
R48,127.905,-78.795,270.0,top
R49,168.7,-89.4,135.0,top
R5,121.2,-77.8,270.0,top
R50,167.5,-90.0,315.0,top
R51,171.3,-87.4,225.0,top
R52,170.5,-85.5,135.0,top
R53,167.5,-86.6,315.0,top
R54,174.2,-89.5,315.0,top
R55,175.5,-90.1,45.0,top
R56,174.7,-83.9,315.0,top
R57,173.5,-104.4,270.0,top
R6,158.94416,-107.299992,0.0,top
R7,174.08916,-115.624992,270.0,top
R8,165.76416,-98.812492,270.0,top
R9,164.81416,-110.812492,90.0,top
TP1,139.105,-91.68,270.0,bottom
TP10,128.905,-100.5,0.0,bottom
TP11,133.705,-89.9,0.0,bottom
TP12,129.2,-92.9,0.0,bottom
TP13,122.380889,-80.8,0.0,bottom
TP14,126.580888,-80.8,0.0,bottom
TP15,120.080888,-89.4,0.0,bottom
TP16,138.7,-83.8,0.0,bottom
TP17,121.857119,-99.300749,0.0,bottom
TP18,149.1,-79.2,0.0,bottom
TP19,137.2,-71.0,180.0,bottom
TP2,128.905,-98.1,0.0,bottom
TP20,163.9,-89.3,45.0,bottom
TP21,166.2,-92.0,45.0,bottom
TP22,174.3,-73.5,180.0,bottom
TP23,159.0,-91.7,0.0,bottom
TP24,174.0,-70.1,0.0,bottom
TP3,139.655,-112.7,0.0,bottom
TP4,144.175,-112.72,0.0,bottom
TP5,148.705,-112.73,0.0,bottom
TP6,153.185,-112.74,0.0,bottom
TP7,146.525,-117.18,0.0,bottom
TP8,141.225,-91.57381,270.0,bottom
TP9,139.105,-95.42,270.0,bottom
U1,160.36416,-110.462492,270.0,top
U10,123.880888,-88.8,0.0,top
U11,146.9,-84.7,180.0,top
U12,154.1,-80.8,180.0,top
U13,132.505,-76.905,180.0,top
U14,140.005,-73.705,180.0,top
U15,174.109055,-86.903939,315.0,top
U17,157.67275,-103.523306,135.0,top
U2,173.06416,-117.874992,180.0,top
U3,171.38916,-111.924992,180.0,top
U4,160.83916,-95.562492,0.0,top
U5,172.900025,-95.022428,180.0,top
U6,165.51416,-103.874992,270.0,top
U7,147.104873,-109.8,0.0,bottom
U8,130.825,-115.545,0.0,bottom
U9,142.70381,-99.81,0.0,top
X1,165.6,-95.0,90.0,top
Y1,162.749936,-90.44478,90.0,top
